STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,METHODOLOGY,Methodology,MEASURE,Measure,UNIT_MEASURE,Unit of measure,EXPENDITURE,Expenditure,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DURABILITY,Durability,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2008-05,,126.6322,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2008-04,,118.3026,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2008-03,,113.5305,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2008-02,,108.0171,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2008-01,,108.0929,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2007-12,,107.1281,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2007-11,,107.8683,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2007-10,,102.2432,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2007-09,,103.2524,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2007-08,,103.0834,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2007-07,,107.0138,,A,Normal value,,,2015,,,,2,Two
